Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Devers-Palo Verde No. 2 Transmission Line Project  Construction and Operation a New 230-mile 500 kV Electric Transmission Line between Devers Substation in California and Harquahala Generating Substation in Arizona,Draft,08/17/2006,05/19/2006,Bureau of Land Management,,CA
San Clemente Dam Seismic Safety Project  Increase Dam Safety to Meet Current Design Standards  Monterey County  CA,Draft,06/29/2006,05/19/2006,U.S. Army Corps of Engineers,,CA
Tell City Windthrow 2004 Project  Salvage Harvest and Prescribed Burning of Windthrow Timber  Implementation  Hoosier National Forest  Perry  Crawford and Dubois Counties  IN,Final,05/26/2006,05/19/2006,Forest Service,,IN
St. George Municipal Airport Replacement  Funding  City of St. George  Washington County  UT,Final,07/12/2006,05/19/2006,Federal Aviation Administration,,UT
Moose-Gypsum Project  Proposes to Authorize Vegetation Treatments  Watershed Improvements  and Travel Plan and Recreation Updates  Pinedale Ranger District  Bridger-Teton National Forest  Sublette County  WY,Final,06/29/2006,05/19/2006,Forest Service,,WY
Big Stone II Power Plant and Transmission Project  Propose Power Plant  Transmission Alternatives  and Substation Modification  (DOE/EIS-0377)  US Army COE Section 10 and 404 Permits  Big Stone City  Grant County  SD and Big Stone County   MN,Draft,08/07/2006,05/19/2006,WAP,,MN
Port Arthur Liquefied Natural Gas (LNG) Project  Construction and Operation  US Army COE Section 10 and 404 Permits  (FERC/EIS-0182D)  Jefferson and Orange Counties TX and Cameron  Calcasieu and Beauregard Parishes  LA,Final,06/12/2006,05/12/2006,Federal Energy Regulatory Commission,,TX
Dean Project Area  Proposes to Implement Multiple Resource Management Actions  New Information to Disclose Direct  Indirect  and Cumulative Environmental Impacts  Black Hills National Forest  Bearlodge Ranger District  Sundance  Crook County  WY,Final Supplement,05/23/2006,05/12/2006,Forest Service,,WY
Contra Costa Water District Alternative Intake Project  To Protect and Improve the Quality of Water Deliver to Untreated andTreated-Water Customers  Contra Costra County  CA,Draft,07/17/2006,05/12/2006,Bureau of Reclamation,,CA
Creole Trail Liquefied National Gas (LNG) Terminal and Pipeline Project  Construction and Operation  Cameron  Calcasieu  Beauregard  Allen  Jefferson  Davis and Acadia Parishes  LA,Final,06/12/2006,05/12/2006,Federal Energy Regulatory Commission,,LA
Andersen Air Force Base (AFB)  Establish and Operate an Intelligence  Surveillance  Reconnasissance  and Strike (ISR/Strike) Capability  Guam,Draft,06/27/2006,05/12/2006,United States Air Force,,GU
Grizzly Bear Conservation for the Greater Yellowstone Area National Forests  Implementation  Amend Six Forest Plans: Beaverhead-Deerlodge National Forest  Bridger-Teton National Forest  Caribou-Targhee National Forest  Custer National Forest  Gallatin National Forest and Shoshone National Forest  MT  WY  and ID,Final,06/07/2006,05/12/2006,Forest Service,,
Levisa Fork Basin Project  Section 202 Flood Damage Reduction  Big Sandy River  Floyd County  KY,Draft,06/26/2006,05/12/2006,U.S. Army Corps of Engineers,,KY
Rio Salado Oeste Project  Ecosystem Restoration along the Salt River  City of Phoenix  Maricopa County  AZ,Draft,06/08/2006,05/12/2006,U.S. Army Corps of Engineers,,AZ
Crown Landing Liquefied Natural Gas Terminal  Construct and Operate in Gloucester County  NJ and New Castle County  DE; and Logan Lateral Project  Construct and Operate a New Natural Gas Pipeline and Ancillary Facilities in Gloucester County  NJ and Delaware  PA,Final,06/02/2006,05/05/2006,Federal Energy Regulatory Commission,,
Illinois Route 29  (FAP 318) Corridor Study  Transportation Improvement from Illinois 6 to Interstate 180  Funding and US Army COE Section 404  Permit  Peoria  Marshall  Putnam and Bureau Counties  IL,Draft,06/23/2006,05/05/2006,Federal Highway Administration,,IL
Cove Point Expansion Project  Construction and Operation of a Liquefied Natural Gas (LNG) Import Terminal Expansion and Natural Gas Pipeline Facilities  US. Army COE Section 404 Permit   Docket Nos.  CPO5-130-000  CP05-131-000 and CP05-132-00  PA  VA  WV  NY and MD,Final,06/02/2006,05/05/2006,Federal Energy Regulatory Commission,,
Mission Brush Project  Additional Information  Proposes Vegetation  Wildlife Habitat  Recreation and Aquatic Improvement Treatments  Idaho Panhandle National Forests  Bonners Ferry Ranger District  Bounty County  ID,Final Supplement,06/05/2006,05/05/2006,Forest Service,,ID
Rocky Mountain National Park  Elk and Vegetation Management Plan  Implementation  Grand and Larimer Counties  CO,Draft,06/07/2006,05/05/2006,National Park Service,,CO
Klondike III Wind Project (300 megawatts {MW}) and Biglow Canyon Wind Farm (400 megawatts {MW}) Integration Project  Construction and Operation of a Double-Circut 230-Kilovolt (kV) Transmission  Sherman County  OR,Draft,06/19/2006,05/05/2006,Bonneville Power Administration,,OR
Dakota Prairie Grasslands Noxious Weed Management  Project  Implementation  Billings  Slope  Golden Valley  Sioux  Grant  McHenry  Ransom and Richland Counties  ND and Corson  Perkins  and Ziebach Counties  SD,Draft,06/29/2006,05/05/2006,Forest Service,,
American River Watershed Project  Post Authorization Decision Document  Folsom Dam Raise  Folsom Bridge Project  Propose to Construct a Permanent Bridge and Roadway across the American River  City of Folsom  Sacramento County  CA,Third Draft Supplemental,06/21/2006,05/05/2006,U.S. Army Corps of Engineers,,CA
Kobuk-Seward Peninsula Resource Management Plan  from Point Lay to the North Sound and from the Bering and Chukchi Seas East to the Kobuk River  AK,Draft,08/03/2006,05/05/2006,Bureau of Land Management,,AK
TIER 1 - DEIS Trans-Texas Corridor - 35 (TTC-35) System  Improvement to International  Interstate and Intrastate Movement of Goods and People  Oklahoma-Mexico/Gulf Coast Element,Draft,07/31/2006,05/05/2006,Federal Highway Administration,,
Denali National Park and Preserve  Draft South Denali Implementation Plan  Matanuska-Susitna Borough  AK,Final,06/05/2006,05/05/2006,National Park Service,,AK
Gulf Highlands Condominium and Beach Club West Residential/ Recreational Condominium Projects  Application for Two Incidental Take Permits for the Construction and Occupancy  Fort Morgan Peninsula  Baldwin County  AL,Draft,06/28/2006,04/28/2006,Fish and Wildlife Service,,AL
Upper Columbia Alternative Flood Control and Fish Operations  Implementation  Libby and Hungry Horse Dams  Columbia River Basin  MT,Final,05/30/2006,04/28/2006,U.S. Army Corps of Engineers,,MT
Great Sand Dunes National and Preserve. General Management Plan/Wilderness Study  Implementation  Alamos and Saguache Counties  CO,Draft,06/27/2006,04/28/2006,National Park Service,,CO
Navajo Reservoir Operations  Proposed Operational Changes to Navajo Dam and Reservoir  Endangered Species Act (ESA)  Related Flow Recommendations  Navajo Unit-San Juan River  NM  CO and UT,Final,05/25/2006,04/28/2006,Bureau of Reclamation,,NM - CO
Castillo de San Marcos National Monument  General Management Plan  Implementation  City of St. Augustine  St. Johns County  FL,Draft,06/23/2006,04/28/2006,National Park Service,,FL
Eagle Lake Field Office Project  Resource Management Plan  Implementation  Lassen  Plumas  Sierra Counties  CA and Washoe County  NV,Draft,07/27/2006,04/28/2006,Bureau of Land Management,,CA
Capital Beltway Study  Transportation Improvement to the 14-Mile Section of Capital Beltway (I-495) between the I-95/I-395/I-495 Interchange and the American Legion Bridge  Fairfax County  VA,Final,06/05/2006,04/28/2006,Federal Highway Administration,,VA
School Fire Salvage Recovery Project  Salvage Harvest Fire-Killed (dead) and Fire-Damaged (dying) Trees  Implementation  Pomeroy Ranger District  Umatilla National Forest  Columbia and Garfield Counties  WA,Draft,06/12/2006,04/28/2006,Forest Service,,WA
Surprise Field Office Project  Resource Management Plan  Implementation  Cedarville; Modoc and Lassen  CA and Washoe and Humboldt Counties  NV,Draft,07/27/2006,04/28/2006,Bureau of Land Management,,CA
Alturas Field Office Project  Resource Management Plan  Implementation  Lassen  Modoc  Shasta and Siskiyou Counties  CA,Draft,07/27/2006,04/28/2006,Bureau of Land Management,,CA
Generic - Brunswick Stream Electric Plant  Units 1 and 2 (TAC Nos. MC4641 and MC4642) License Renewal of Nuclear Plants  Supplement 25 to NUREG-1437  Brunswick County  NC,Final,06/29/2006,04/28/2006,Nuclear Regulatory Commission,,NC
US-31 Improvement from Plymouth to South Bend  Running from Southern Terminus at US-30 to Northern Terminus at US-20  Marshall and St. Joseph Counties  IN,Final,05/18/2006,04/21/2006,Federal Highway Administration,,IN
Cape Cod National Seashore (CACO) Hunting Program  General Management Plan  Implementation  Barnstable County  MA,Draft,06/19/2006,04/21/2006,National Park Service,,MA
Sixshooter Project  To Reduce the Threats of Insect Infestation and Wildfire  Sixmile and West Fork Creek  Boise National Forest  Emmett Ranger District  Gem County  ID,Final,05/22/2006,04/21/2006,Forest Service,,ID
Central Corridor Project  Develop a Light Rail Facility or a Busway/Bus Rapid Transit Facility  11 miles between downtown Minneapolis and downtown St. Paul  Minnesota  Twin Cities Metropolitan Area  MN,Draft,06/05/2006,04/21/2006,Federal Transit Administration,,MN
Alleghany and Ohio Rivers Commercial Sand and Gravel Dredging Operations  Granting and Extending Permits for Continuance of Dredging and US Army COE Section 10 and 404 Permits Issuance  PA,Final,05/22/2006,04/21/2006,U.S. Army Corps of Engineers,,PA
Hickam Air Force Base and Bellows Air Force Station  15th Airlift Wing  Housing Privatization Phase II  To Transfer the Remaining Housing Units  and Associated Infrastructure to Selected Offeror  O'ahu  HI,Draft,06/07/2006,04/21/2006,United States Air Force,,HI
Boulder Project  Timber Harvesting  Vegetation and Road Management  US Army COE Section 404 Permit  Chequamegon-Nicolet National Forest  Lakewood-Laona Ranger District  Oconto and Langlade Counties  WI,Draft,06/05/2006,04/21/2006,Forest Service,,WI
WITHDRAWN - ADOPTION - Kansas Highway 10 (commonly Known as South Lawrence Trafficway)  Relocation  Issuance of US Army COE Section 404 Permit  Lawrence City  Douglas County  KS,Final,05/05/2006,04/21/2006,Federal Highway Administration,,KS
Southern California National Forests Land Management Plans  Revision of the Angeles  Cleveland  Los Padres  and San Bernardino National Forests Land Management Plans  Implementation  San Bernardino  Riverside  and San Diego Counties  CA,Second Final,04/27/2006,04/21/2006,Forest Service,,CA
Kenai Winter Access Project  Develop a Winter Access Management Plan for 2006/2007 Winter Season  Implementation  Seward Ranger District  Chugach National Forest  Located on the Kenai Peninsula in Southcentral  AK,Draft,06/09/2006,04/21/2006,Forest Service,,AK
Twentymile Restoration Project Area  Restore Northern Hardwood Forests to an Uneven-aged Condition  Great Divide Ranger District  Chequamegon-Nicolet National Forest  Ashland and Bayfield Counties  WI,Draft,06/05/2006,04/21/2006,Forest Service,,WI
United States Gypsum Expansion/Modernization Project   Expand and Upgrade Plaster City Plant to Increase Wallboard Production Capacity with Related increases in Water Supply  Right-of-Way Grant  Imperial County  CA,Draft,07/15/2006,04/21/2006,Bureau of Land Management,,CA
US-24 Transportation Project  Improvements between Napoleon to Toledo  Funding  Lucas and Henry Counties  OH,Final,05/22/2006,04/21/2006,Federal Highway Administration,,OH
Coachella Valley Multiple Species Habitat Conservation Plan (MSHCP)  Santa Rosa and San Jacinto Mountains Trails Plan  Issuance of Incidental Take Permit  Riverside County  CA,Final,05/15/2006,04/21/2006,Fish and Wildlife Service,,CA
North 49 Forest Health Recovery Project  Restore Fire Adapted Forest System  Located in the Red (MA-16) and Logan (MA-45) Management Areas  Hat Creek Ranger District  Lassen National Forest  Shasta County  CA,Draft,05/25/2006,04/14/2006,Forest Service,,CA
WITHDRAWN - Kelsey Vegetation Management Project  Moving Resource Conditions Closer to the Goals and Desired Future Condition  Deschutes National Forest Land Resource Management Plan  Bend-Fort Rock Ranger District  Deschutes County  OR,Draft,05/30/2006,04/14/2006,Forest Service,,OR
White/White Analysis Project  Proposes Vegetative Management and Watershed Improvement  Lolo Creek  Chamook Creek  White Creek  Mike White Creek  Nevada Creek  and Utah Creek  Lochsa Ranger District  Clearwater National Forest  Idaho and Clearwater County  ID,Draft,05/30/2006,04/14/2006,Forest Service,,ID
ADOPTION - CA-905 Freeway or Tollway Construction Project Route Location  Adoption and Construction  Otay Mesa Port of Entry to I-805  Funding and US Army COE Section 404 Permit Issuance  San Diego County  CA,Final,03/27/2006,04/14/2006,U.S. Army Corps of Engineers,,CA
Grand Gulf Early Site Permit (ESP) Site  Construction and Operation  Issuance of an Early Site Permit (ESP)  NUREG-1817  Claiborne County  MS,Final,06/15/2006,04/14/2006,Nuclear Regulatory Commission,,MS
Brown Park Road Project  Reconstruction (Paving) and Partial Re-Alignment from Red  Creek to Colorado State Line  Diamond Mountain Resource Management Plan Amendment (BLM)  US Army COE Section 404 Permit  Daggett County  UT,Final,05/15/2006,04/14/2006,Federal Highway Administration,,UT
Cypress Pipeline Project and Phase VII Expansion Project  Construction and Operation  US Army COE Section 10 and 404 Permits  Northern and Central Florida,Final,05/05/2006,04/14/2006,Federal Energy Regulatory Commission,,FL
Baker River Hydroelectric Project  Application to Relicense the Upper Baker and Lower Baker Developments  Mt. Baker-Snoqualmie National Forest  Baker River  Whatcom and Skagit Counties  WA,Draft,06/15/2006,04/14/2006,Federal Energy Regulatory Commission,,WA
Echo Trail Area Forest Management Project  Forest Vegetation Management and Related Transportation System  Superior National Forest Land and Resource Management Plan  Lacroix Ranger District and Kawishiwi Ranger District  St. Louis and Lake Counties  MN,Draft,05/30/2006,04/14/2006,Forest Service,,NM
Bottomfish and Seamount Groundfish Fisheries of the Western Pacific Region  Approval for Measures to End Bottomfish Overfishing in the Hawaii Archipelago  HI  GU and AS,Draft Supplement,06/03/2006,04/14/2006,National Oceanic and Atmospheric Administration,,HI - GU
Village at Wolf Creek Project  Application for Transportation and Utility Systems and Facilities  Proposed Development and Use of Road  and Utility Corridors Crossing  National Forest System Lands to Access 287.5  Acres of Private Property Land  Mineral County  CO,Final,05/31/2006,04/14/2006,Forest Service,,CO
Cowlitz Indian Tribe Trust Acquisition and Casino Project  Take 151.87 Acres into Federal Trust and Issuing of Reservation Proclamation  and  Approving the Gaming Development and Management Contract  Clack County  WA,Draft,07/14/2006,04/14/2006,Bureau of Indian Affairs,,WA
Central Link Light Rail Transit Project (Sound Transit) Construction and Operation of the North Link Light Rail Extension  from Downtown Seattle and Northgate  Updated Information on Refined Design Concepts  Funding  Right-of-Way and US Army COE Section 404 Permits  King County  WA,Third Final Supplemental,05/08/2006,04/07/2006,Federal Transit Administration,,WA
Compass Port and Deepwater Port License Application  To Construct a Liquefied Natural Gas (LNG) Receiving  Storage and Regasification Facility  Proposed Offshore Pipeline and Fabrication Site  NPDES Permit  US Army COE Section 10 and 404 Permits  Mobile County  AL and San Patricio and Nueces County  TX,Final,06/05/2006,04/07/2006,U.S. Coast Guard,,AL
Harrisonburg Southeast Connector Location Study  Transportation Improvements from US Route 11 to US Route 33  Funding and US Army COE Section 404 Permit  City of Harrisonburg  Rockingham County  VA,Draft,05/24/2006,04/07/2006,Federal Highway Administration,,VA
First Ladies National Historic Site General Management Plan  Implementation  Canton  OH,Final,05/02/2006,04/07/2006,National Park Service,,OH
Regional Non-Potable Water Distribution System Project  Funding  US Army COE Section 404 Permit  Riverside and San Bernardino County  CA,Final,03/30/2006,04/07/2006,Environmental Protection Agency,,CA
Drew Creek Diamond Rock and Divide Cattle Allotments  Alternative 2 Preferred Alternative  Issuance of Term Grazing Permits on Livestock Allotments on Tiller Ranger District  Implementation  Umpqua National Forest  Douglas and Jackson Counties  OR,Final,05/08/2006,04/07/2006,Forest Service,,OR
Upper Strawberry Allotments Grazing  Authorize Liverstock Grazing  Heber Ranger District  Uinta National Forest  Wasatch County  UT,Draft,05/23/2006,04/07/2006,Forest Service,,UT
Interstate 29/35 Paseo Bridge Corridor  Reconstruct and Widen I-29/35  Missouri River  North Kansas City and Kansas City  Clay and Jackson Counties  MO,Draft,05/05/2006,04/07/2006,Federal Highway Administration,,MO
ADOPTION - Dents Run Watershed Ecosystem Restoration  Construction and Operation of Six Acid Mine Drainage Abatement Projects  Implementation  Benezette Township  Susquehana River Basin  Elk County  PA,Final,04/21/2006,04/07/2006,Office of Surface Mining,,PA
Whitetail -Pipestone Travel Management  Develop Site-Specific Travel Management Plan  Jefferson and Butte Ranger Districts  Beaverhead-Deerlodge National Forest  Jefferson and Silver Bow Counties  MT,Draft,05/10/2006,04/07/2006,Forest Service,,MT
Gold Camp Road Plan  Develop a Feasible Plan to Manage the Operation of Tunnel #3 and the 8.5 mile Road Segment  Pike National Forest  Pikes Peak Ranger District  Colorado Springs  EL Paso County  CO,Revised Final,05/01/2006,04/07/2006,Forest Service,,CO
Abraham Lincoln Birthplace National Historic Site  General Management Plan  Implementation  LaRue County  KY,Draft,06/06/2006,04/07/2006,National Park Service,,KY
St. Johns Bayou and New Madrid Floodway Project  Channel Enlargement and Improvement  Revised Information to Clarify and Address Issues of Concern  Flood Control National Economic Development (NED)  New Madrid  Mississippi and Scott Counties  MO,FC,05/02/2006,04/07/2006,U.S. Army Corps of Engineers,,MO
I-49 South Wax Lake Outlet to Berwick Route US-90  Transportation Improvements  Funding and Right-of-Way Acquisition  St. Mary Parish  LA,Draft,05/30/2006,04/07/2006,Federal Highway Administration,,LA
Clear Prong Project  Timber Harvest  Temporary Road Construction  Road Maintenance  Road Decommissioning  Thinning of Sub-Merchantable Tree  and Prescribed Fire  Boise National Forest  Cascade Ranger District  Valley County  ID,Draft,05/15/2006,03/31/2006,Forest Service,,ID
PROGRAMMATIC -  Proposed Revision to Grazing Regulations for the Public Lands  42 CFR Part 4100  in the Western Portion of the United States,Revised Final,05/01/2006,03/31/2006,Bureau of Land Management,,
Cotterel Wind Power Project and Draft Resource Management Plan Amendment  To Build a 190-240 megawatt  Wind-Powered Electrical Generation Facility  Right-of-Way Application  City of Burley  Towns of Albion and Malta  Cassia County  ID,Final,04/27/2006,03/31/2006,Bureau of Land Management,,ID
Spruce No. 1 Mine  Construction and Operation  Mining for 2.73 Million Ton of Bituminous Coal  NPDES Permit and US Army COE Section 404 Permit  Logan County  WV,Draft,06/16/2006,03/31/2006,U.S. Army Corps of Engineers,,WV
Green Mountain National Forest  Propose Revised Land and Resource Management Plan  Implementation  Forest Plan Revision  Addison  Bennington  Rutland  Washington  Windham and Windsor Counties  VT,Final,05/01/2006,03/31/2006,Forest Service,,VT
Lewis River Hydroelectric Projects  Relicensing the Swift No. 1 (FERC No. 2111-018)  Swift No. 2 (FERC No. 2213-011)  Yale (FERC No. 2071-013)  Merwin (FERC No. 935-053) Project  Application for Relicense  North Fork Lewis River  Cowlitz  Clark and Shamania Counties  WA,Final,04/25/2006,03/31/2006,Federal Energy Regulatory Commission,,WA
Eglin Air Force Base and Hurlburt  Field  New Revision to Preferred Alternatives  Military Family Housing Demolition  Construction  Renovation  and Leasing (DCR & L) Program  Okaloosa County  FL,Draft Supplement,07/20/2006,03/31/2006,United States Air Force,,FL
Canaan Valley Institute Office Complex  Proposes to Construct: Offices  Classrooms  Laboratories  250-Seat Auditorium  Parking Facilities  Outdoor Classrooms and Interpretive Areas  US Army COE Section 404 Permit  Southeast of the Towns of Davis and Thomas  Tucker County  WV,Final,04/21/2006,03/31/2006,National Oceanic and Atmospheric Administration,,WV
Vail Valley Forest Health Project  Landscape-Scale Vegetation Management and Fuels Reduction  White River National Forest  Holy Cross Ranger District  Eagle County  CO,Final,05/22/2006,03/31/2006,Forest Service,,CO
Spencer Creek Bridge US Highway 101 Replacement Project  To Maintain the Connectivity and Highway Functions of US 101 between Otter rock and Watt Creek  Funding  Lincoln County  OR,Final,05/01/2006,03/31/2006,Federal Highway Administration,,OR
Hoosier National Forest Land and Resource Management Plan  Implementation  Brown  Crawford  Dubois  Jackson  Lawrence  Martin  Orange  Perry Counties  IN,Final,04/24/2006,03/24/2006,Forest Service,,IN
Dry Fork Federal Coal Lease-by-Application (COC-67232)  Leasing Additional Federal Coal Lands for Underground Coal Resource  Special-Use-Permits and US Army COE Section 404 Permit  Grand Mesa  Uncompahgre and Gunnison National Forests  Gunnison County  CO,Final,08/30/2006,03/24/2006,Forest Service,,CO
Phoenix Project Area  Treat Poor Forest Health  High Fire Hazard Condition  Develop a Network of Defensible Fuel Profile Zones (DFPZs)  and  Restore Aspen Stand  Sierraville Ranger District  Tahoe National Forest  Sierra and Nevada Counties  CA,Draft,05/08/2006,03/24/2006,Forest Service,,CA
Fishbone Project Area  Vegetation and Road Management  Implementation  Washburn Ranger District  Chequamegon-Nicolet National Forest  Bayfield County  WI,Draft,05/08/2006,03/24/2006,Forest Service,,WI
Commercial Pack Station and Pack Stock Outfitter/ Guide Permit Issuance  Implementation  Special-Use-Permit  to Twelve Pack Station and Two Outfitter/Guides  Inyo National Forest  CA,Draft,05/16/2006,03/24/2006,Forest Service,,CA
Growden Dam Sherman Creek Restoration Project  and Forest Plan Amendment #28  Implementation  Colville National Forest  Ferry County  WA,Final,04/24/2006,03/24/2006,Forest Service,,WA
Frenchtown Face Ecosystem Restoration Project  Maintenance and Improvement of Forest Health  Risk Reduction of Damage Insects and Disease  Lolo National Forest  Ninemile Ranger District  Missoula  MT,Final,04/12/2006,03/24/2006,Forest Service,,MT
Berlin  Coos County  Proposed Federal Correctional Institution  Construction and Operation  City of Berlin  Coos County  NH,Draft,05/08/2006,03/24/2006,Bureau of Prisons,,NH
West Gold Creek Project  Updated Information  Forest Management Activities Plan  Implementation  Idaho Panhandle National Forests  Sandpoints Ranger District  Bonner County  ID,Draft Supplement,05/15/2006,03/24/2006,Forest Service,,ID
Denver Union Station (DUS) Project  Transportation Improvement  Multimodal Transportation Center for the Metro Denver Region  Funding and NPDES Permit  City and County Denver  CO,Draft,05/08/2006,03/24/2006,Federal Transit Administration,,CO
East Locust Creek Watershed Revised Plan  Installation of  Multiple-Purpose Reservoir  Flood Prevention and Watershed Protection  Sullivan and Putnam Counties  MO,Draft,05/03/2006,03/24/2006,Natural Resource Conservation Service,,MO
Jacob Ryan Vegetation Management Project  Implementation  Kaibab National Forest  North Kaibab Ranger District  Coconino County  AZ,Draft,05/05/2006,03/24/2006,Forest Service,,AZ
Commercial Park Stock Permit Reissuance for the Sierra National Forest and Trail Management  Plan for the Dinkey Lakes Wilderness  Application Reissuance Special-Use-Permit  Mariposa  Madera and Fresno Counties  CA,Draft,05/25/2006,03/24/2006,Forest Service,,CA
Shawnee National Forest Trails Designation Project  Phase 1  Designation  Construction and Maintenance for Trail System within Four Watershed: Eagle Creek  Big Grand Pierre Creek  Lusk Creek and Upper Bay Creek  Hidden Springs Ranger District  Gallatin  Hardin  Johnson  Pope and Saline Counties  IL,Final,04/05/2006,03/24/2006,Forest Service,,IL
Pit 14 Coal Lease-by-Application Project  Black Butte Coal Mine  Surface Mining Operations  Federal Coal Lease Application WYW160394  Sweetwater County  WY,Draft,05/23/2006,03/24/2006,Bureau of Land Management,,WY
River Valley Intermodal Facilities  Construction and Operation of Multi-Modal Transportation  Complex  US Army COE Section 10 and 404 Permits  City of Russellville  Pope County  AR,Draft,05/02/2006,03/17/2006,Federal Highway Administration,,AR
U.S. Army Alaska Battle Area Complex (BAX) and a Combined Arms Collective Training Facility (CACTF)  Construction and Operation   Additional Information on Site Alternative  within U.S. Army Training Lands in Alaska,Draft Supplement,05/21/2006,03/17/2006,United States Army,,AK
WI-83 Highway Improvements  County NN in Mukwonago to WI-16 in Hartland  Funding and US Army COE Section 404 Permit Issuance  Waukesha County  WI,Final,04/03/2006,03/17/2006,Federal Highway Administration,,WI
Methow Transmission Project  Construction of New Transmission Line or Reconstruction an Existing Line  Okanogan and Wenatchee National Forests  Methow Valley Ranger District  Okanogan County  WA,Final,04/17/2006,03/17/2006,Forest Service,,WA
PROGRAMMATIC - Texas National Estuarine Research Reserve and Management Plan  Mission-Aransas Estuary  Site Designation  Federal Approval  TX,Final,04/17/2006,03/17/2006,National Oceanic and Atmospheric Administration,,TX
Central and Southern Florida Project  New Authorization for Broward County Water Preserve Areas  South Florida Water Management District (SFWMD)  Comprehensive Everglades Restoration Plan  (CERP)  Broward County  FL,Draft,04/28/2006,03/17/2006,U.S. Army Corps of Engineers,,FL
Main Pass Energy Hub Deepwater Port License Application  Proposes to Construct a Deepwater Port and Associated Anchorages  US Army COE Section 10 and 404 Permit  Gulf of Mexico (GOM)  southeast of the coast of Louisiana in Main Pass Lease Block (MP) 2999 and from the Mississippi coast in MP 164,Final,05/04/2006,03/10/2006,U.S. Coast Guard,,
Little Red River Irrigation Project  Develop a Water Management Plan for Irrigation Purposes in Seary  US Army COE Section 404 Permit  Raft Creek  White County  AR,Draft,04/20/2006,03/10/2006,Natural Resource Conservation Service,,AR
Interstate 5/Cosumnes River Boulevard Interchange Project  Extension of Cosumnes River Boulevard from Franklin Boulevard to Freeport Boulevard with an Interchange at Interstate 5  South of the Pocket/Meadowview Road Interchange and North of the Laguna Boulevard Interchange  City of Sacramento  Sacramento County  CA,Draft,04/26/2006,03/10/2006,Federal Highway Administration,,CA
Deep Lake Allotment Project  Proposes to Re-authorize Grazing  Mormon Lake Ranger District  Coconino National District  Coconino County  AZ,Draft,04/21/2006,03/10/2006,Forest Service,,AZ
Wasatch-Cache National Forest Noxious Weed Treatment Program  Proposes to Treat Noxious Weeds 1.2 Million Acres of Wilderness and Non-Wilderness Areas  several counties  UT and Uinta County  WY,Draft,05/18/2006,03/10/2006,Forest Service,,UT
US 59 - Amelia Earhart Memorial Bridge over the Missouri River  Construction from Atchison  Kansas to US 59/State Route 45 Intersection  US Coast Guard Section 9 Permit and US Army COE Section 10 and 404 Permits  Atchison  KS and Buchanan County  MO,Draft,05/01/2006,03/10/2006,Federal Highway Administration,,
Santa Fe National Forest Plan Amendment for Oil & Gas Leasing  and Roads Management  Implementation  San Juan Basin  Cuba Ranger District  NM,Draft,04/20/2006,03/10/2006,Forest Service,,NM
Tamarack Quarry Expansion Project  Secure a Long-Term Economical Source of Rock Material to Use for Highway and Road Maintenance  Mt. Hood National Forest  Clackamas County  OR,Final,04/05/2006,03/10/2006,Forest Service,,OR
Emerald Creek Garnet Area  To Provide a Public Recreational Area for Collecting Garnet Gemstone  US Army COE Section 404 Permit  Idaho Panhandle National Forest  St. Joe Ranger District  Latah County  ID,Draft,04/24/2006,03/10/2006,Forest Service,,ID
CANCELLED - Los Angeles Federal Bureau of Investigation (FBI) Federal Building  Consolidation of  FBI Field Office Headquarters and 11 other Satellite Offices  Federal Central District  Los Angeles  CA,Draft,04/19/2006,03/10/2006,General Services Administration,,CA
Priest Rapids Hydroelectric Project  FERC Project #2114-116 Relicensing Application for New License  Columbia River  Grant  Yakima  Kittitas  Douglas  Benton  and Chelan Counties  WA,Draft,04/17/2006,03/03/2006,Federal Energy Regulatory Commission,,WA
Beacon Port Deepwater Port License Application  Construction and Operation  Deepwater Port and Offshore Pipeline  US COE Section 404 and 10 Permits  Gulf of Mexico  San Patricio County  TX,Draft,06/01/2006,03/03/2006,U.S. Coast Guard,,
Big Bear Lake Bridge Replacement Project  near Big Bear Lake on CA-18 from Kilopost 71.1/71.9  Realignment and Widening Roadways  US COE Section 404 Permit  Funding  San Bernardino National Forest  San Bernardino County  CA,Draft,04/13/2006,03/03/2006,Federal Highway Administration,,CA
Copper Mountain Resort Trails and Facilities Improvements  Implementation  Special Use Permit  White River National Forest  Dillon  Ranger District  Summit County  CO,Final,05/04/2006,03/03/2006,Forest Service,,CO
Williow Creek All-Terrain Vehicle Trail Expansion  Improvements  located in Marshburg/Stickney Intensive Use Area  Alleghany National Forest  McKean County  PA,Draft,04/11/2006,03/03/2006,Forest Service,,PA
Stillwater Business Park  New and Revised Information  Development of Business Park  Annexation AN1-01  Shastec Redevelopment Project Area  Airport Land Use Plan Amendment  Pre-Zone  General Plan Amendment GPA-2-01  Rezone RZ-1-01  Funding and US Army COE 404 Permit  City of Redding  Shasta County  CA,Final,03/27/2006,03/03/2006,Department of Housing and Urban Development,,CA
Ashburton Avenue Master Plan and Urban Renewal Plan/Mulford Hope VI Revitalization Plan  Development  Implementation  Yonkers City  Westchester County  NY,Final,03/30/2006,03/03/2006,Department of Housing and Urban Development,,NY
