Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Natural Resource Plan   To Determine How TVA Will Manage It Natural Resource Over the Next 20 Year  Implementation  AL  GA  KY  MS  NC  TN and VA,Final,08/15/2011,07/15/2011,Tennessee Valley Authority,,AL - GA - KY - NC - TN
East Link Rail Transit Project  New and Update Information   Proposes to Construct and Operate an Extension of the Light Rail System from downtown Seattle to Mercer Island  Bellevue  and Redmond via Interstate 90  Funding and US Army COE Section 404 and 10 Permits  Seattle  WA,Final,08/10/2011,07/15/2011,Federal Transit Administration,,WA
Big Eddy-Knight Transmission Project  Proposal to Construct  Operate  and Maintain a 27-28 mile long 500-Kilovolt Transmission Line using a Combination  of Existing BPA and New 150-Foot wide Right -of-Way  Wasco County  OR and Klickitat County  WA,Final,08/11/2011,07/15/2011,Bonneville Power Administration,,
2011 Caribbean Comprehensive Annual Catch Limit (ACL) Amendment for the US Caribbean:  Amendment 6 to the Reef Fish Fishery Management Plan of Puerto Rico and the U.S. Virgin Islands;  Amendment 5 to the Fishery Management Spiny Lobster Fishery of Puerto Rico and the U.S. Virgin Islands;  Amendment 3 to the Fishery Management  Plan for the Queen Conch Resources of Puerto Rico and the U.S. Virgin Islands;  Amendment 3 to the Fishery Management Plan for Corals and Reef  Associated Plants and Invertebrates of Puerto Rico and the U.S. Virgin Islands,Draft,09/01/2011,07/15/2011,National Oceanic and Atmospheric Administration,,
Wisconsin Highway Project  Mobility Motorized and Nonmotorized Travel Enhancements  Updated Information on New Alternatives  and Evaluates a Staged Improvement   US18/151 (Verona Road) and the US 12/14 (Beltine) Corridors  Dane County  WI,Final,08/03/2011,07/08/2011,Federal Highway Administration,,WI
Hyde Park/North Logan Corridor Project  Proposed 200 East Transportation Corridor between North Logan City and Hyde Park  Funding  Right-of-Way Acquisitions and US Army COE Section 404 Permit  Cache County  UT,Final,08/08/2011,07/08/2011,Federal Highway Administration,,UT
North Billings County Allotment Management Plan Revisions  Updated Information   Proposes to Continue to Permit Livestock Grazing on 43 Allotments  Medora Ranger District  Dakota Prairie Grasslands  Billings County  ND,Draft Supplement,08/16/2011,07/08/2011,Forest Service,,ND
Theodore Francis Green Airport Improvement Program  Proposing Improvements to Enhance Safety and the Efficiency of the Airport and the New England Regional Airport System  City of Warwick   Kent County  RI,Final,08/02/2011,07/08/2011,Federal Aviation Administration,,RI
Ocotillo Express Wind Energy Project  Proposing to Develop a 465-Megawatt Wind Energy Facility  Implementation  Imperial County  CA,Draft,10/06/2011,07/08/2011,Bureau of Land Management,,CA
McKinley County Easement - Forest Roads 191 and 191D  Implementation  Cibola National Forest  McKinley County  NM,Final,07/20/2011,07/08/2011,Forest Service,,NM
Ketchikan - Misty Fiords Outfitter and Guide Management Plan  Authorizes Outfitter and Guide Operations through the Issuance of Special-Use-Permits  Tongass National Forest  Ketchikan-Misty Ranger District  Ketchikan  AK,Draft,08/12/2011,07/08/2011,Forest Service,,AK
Woodward Avenue Light Rail Transit Project  Construction and Operation  Funding   City of Detroit  Wayne County  MI,Final,08/01/2011,07/01/2011,Federal Transit Administration,,MI
Gulf of Mexico Outer Continental Shelf Oil and Gas Lease Sales: 2012  Central Planning Area Lease Sales:  216 and 222  Potential Changes to the Baseline Conditions  Offshore Marine Enivornment and Coastal Counties/Parishes of MS  LA   AL,Second Draft Supplemental,08/17/2011,07/01/2011,BOEMRE,,MS - LA
Ely Westside Rangeland Project  Authorization of Livestock Grazing  To Improve the Health of the Land and To Protect Essential Ecosystem Functions and Values  Implementation  Humboldt-Toiyabe National Forest  Lincoln  Nye  and White Pine Counties  NV,Draft,08/11/2011,07/01/2011,Forest Service,,NV
Beach Club West and Gulf Highlands Condominiums Residential/Recreational Condominium Project  Incidental Take Permits for Construction and Occupancy  Consider Issuance of  U.S. Army COE Section 10 and 404 Permits  Baldwin County  AL,Draft Supplement,08/15/2011,07/01/2011,Fish and Wildlife Service,,AL
Generic - Annual Catch Limits/Accountability Measures Amendment for the Gulf of Mexico Fishery Management Council's Red Drum  Reef Fish  Shrimp  Coral and Coral Reefs  Fishery Management Plans Implementing the National Standard 1 Guidelines,Draft,08/15/2011,07/01/2011,National Oceanic and Atmospheric Administration,,
PROGRAMMATIC - Marine Seismic Research Funded by the National Science Foundation or Conducted by the U.S. Geological Survey   To Fund the Investigation of the Geology and Geophysics of the Seafloor by Collecting  Seismic Reflection and Refraction Data  Across the World's Ocean,Final,,07/01/2011,National Science Foundation,,
1015 Second Avenue Property  Involving Disposition of the Property Either Through Transfer  Donations  or Sale  Downtown Seattle  WA,Draft,08/10/2011,07/01/2011,Federal Reserve Bank of San Francisco,,WA
Los Coyotes Band of Cahuilla and Cupeno Indians Fee-To-Trust and Casino-Hotel Project  To Improve Long-Term Economic Development  Implementation  City of Barstow  San Bernardino County  CA,Draft,09/13/2011,07/01/2011,Bureau of Indian Affairs,,CA
Amendment 11 to the Atlantic Mackerel  Squid  and Butterfish (MSB)  Update Information MSB Essential Fish Habitat; Establish a Mackerel Recreational Allocation ; Establish a Cap to Limit the At-Sea Processing of Mackerel   Fishery Management Plan (FMP)  Establish an Atlantic Mackerel Limited Access Program  Implementation,Final,,07/01/2011,National Oceanic and Atmospheric Administration,,
Sequoyah Nuclear Plant Units 1 and 2  License Renewal  Updated Information Resulting from Renewing Operating License  Application Renewal   Hamilton County  TN,Final Supplement,07/25/2011,07/01/2011,Tennessee Valley Authority,,TN
West Chocolate Mountains Renewable Energy Evaluation Area  Evaluating Allocated Federal Mineral Estate (not including acquired lands) for Leasing  Testing  and Development of Geothermal Power  Imperial County  CA,Draft,09/28/2011,07/01/2011,Bureau of Land Management,,CA
Criminal Alien Requirement (CAR) 12 Procurement Project  To Award a Contract  to House a Population of Approximately 1 750 Federal  Low-Security Adult Male Criminal Alien in a Contractor Owned and Operated Facility  Possible Site Selection:  McRae Correctional Facility  McRae  Georgia  Great Plains Correctional Facility  Hinton  Oklahoma and Scott County  Mississippi,Draft,,06/24/2011,Bureau of Prisons,,GA - MS
Louisiana Coastal Area Barataria Basin Barrier Shoreline Restoration  To Restore the Barrier Shoreline Ecosystem and Significantly Reduce the Loss of Estuarine and Freshwater Wetlands  Caminada Headland in Lafourche and Jefferson Parishes and Shell Islands in Plaguemines Parish  LA,Draft,08/02/2011,06/24/2011,U.S. Army Corps of Engineers,,LA
New Orleans To Venice (NOV)  Federal Hurricane Protection Levee. Restoring  Armoring and Accelerating the Completion of the Existing NOV   Plaquemines Parish  LA,Final Supplement,07/19/2011,06/24/2011,U.S. Army Corps of Engineers,,LA
Lost Creek In-Situ Uranium Recovery (ISR) Project  Proposal to Construct  Operate  Conduit Aquifer Restoration  and Decommission an In-Situ Recovery (ISR) Uranium Milling Facility  Sweetwater County  WY,Final,07/25/2011,06/24/2011,Nuclear Regulatory Commission,,WY
Medium - and Heavy - Duty Fuel Efficiency Improvement Program  Proposing Coordinated and Harmonized Fuel Consumption and Greenhouse Gas (GHG) Emissions Standards  United States,Final,07/25/2011,06/24/2011,National Highway Traffic Safety Administration,,
Uwharrie National Forest  Proposed Land and Resource Management Resource Plan  Implementation  Montgomery  Randolph and Davidson Counties  NC,Draft,09/21/2011,06/24/2011,Forest Service,,NC
Eglin Air Force Base (AFB) and Hurlburt Field  Proposes to Implement the Military Housing Privatization Initiative (MHPI)  FL,Final,07/25/2011,06/24/2011,United States Air Force,,FL
Mid-Columbia Coho Restoration Program. Proposes to Fund the Construction Operationand Maintenance of the Program to help Mitigate for Anadromous Fish  Okanogan Counties  WA,Draft,08/22/2011,06/24/2011,Bonneville Power Administration,,WA
Tupelo Railroad Relocation Planning and Environmental Study   To Improve Mobility and Safety by Reducing Roadway Congestion  City of Tupelo  MS,Draft,09/12/2011,06/24/2011,Federal Railroad Administration,,MS
Integrated Non-Native Plant Control Project  Proposes a Forest-Wide Integrated Management Strategy to Control the Spread of Non-Native Invasive Plant Species (NNIP)   Mark Twain National Forest in Portions of Barry  Bellinger  Boone  Butler  Callaway  Carter  Christian  Crawford  Dent  Douglas  Howell  Iron  Laclede  Madison  Oregon  Ozark  Phelps  Pulaski  Reynolds  Ripley  Shannon  Ste. Genevieve  St. Francois  Stone  Taney  Texas  Washington  Wayne and Wright Counties  MO,Draft,08/08/2011,06/24/2011,Forest Service,,MO
TX-99/Grand Parkway Improvement Project  Segment H and I-1  from United States Highway (US) 59 (N) to Interstate Highway (IH) 10 (E)  Transportation Improvement   Right-of-Way Permit  Montgomery  Harris  Liberty and Chambers Counties  TX,Draft,09/13/2011,06/24/2011,Federal Highway Administration,,TX
Comprehensive Annual Catch Limit (ACL) Amendment for the South Atlantic Regions:   Amendment 2 to the Fishery Management Plan for the Dolpin Wahoo Fishery; Amendment 2 to the Fiishery Management  Plan for Pelagic Sargassum Habitat; Amendment  5 to the Fishery Management Plan for the Golden Crab Fishery and Amendment 25 to the Fishery Management Plan for the Snapper Grouper Fishery   South Atlantic Region,Draft,08/01/2011,06/17/2011,National Oceanic and Atmospheric Administration,,NC - SC - FL
WA-520  I-5 to Medina Bridge Replacement and HOV Project  To Improve Mobility for People and Goods across Lake Washington  in Seattle  King County  WA,Final,07/18/2011,06/17/2011,Federal Highway Administration,,WA
Big South Fork National River and Recreation Area and Obed Wild and Scenic River  Non-Federal Oil and Gas Management Plan  Implementation  KY and TN,Draft,08/19/2011,06/17/2011,National Park Service,,KY
Madera Irrigation District Water Supply Enhancement Project  Constructing and Operating a Water Bank on the Madera Property  Madera County  CA,Final,07/14/2011,06/17/2011,Bureau of Reclamation,,CA
New Orleans To Venice (NOV)  Louisiana  Hurricane Risk Reduction Project  Incorporation of Non-Federal Levees from Oakville to St. Jude  Plaquemines Parish  LA,Final,07/08/2011,06/10/2011,U.S. Army Corps of Engineers,,LA
Greater Natural Buttes Area Gas Development Project  New Information on National Ambient Air Quality Standards and New Monitoring Data    Proposes to Develop Oil and Gas Resources within the 162-911-Acre  Uintah County  UT,Draft Supplement,07/25/2011,06/10/2011,Bureau of Land Management,,UT
Rice Solar Energy Project  Proposed 150 megawatt Solar Energy Generating Facility    161-kV/230-kV Electrical Transmission Tie-Line and  161-kV/230-kV Electrical Interconnection Switchyard  Riverside County   CA,Final,06/30/2011,06/10/2011,Western Area Power Administration,,CA
Ski Resort  Peak 6 Project  To Better Accommodate Existing Daily Visitation Levels  Dillon Ranger District  White River National Forest  Summit County  CO,Draft,08/25/2011,06/10/2011,Forest Service,,CO
Generic - License Renewal of Nuclear Plants Regarding Crystal River Unit 3 Nuclear Generating Unit  Supplement 44  City of Crystal River  Citrus County  FL,Draft,07/25/2011,06/10/2011,Nuclear Regulatory Commission,,FL
Reef Fish Amendment 32  Gag - Rebuilding Plan  Annual Catch Limits  Management Measures  Red Grouper - Annual Catch Limits  Management  Measures  Grouper Accountability Measures  Gulf of Mexico,Draft,07/21/2011,06/10/2011,National Oceanic and Atmospheric Administration,,
Clark  Lincoln  and White Pine Counties Groundwater Development Project  Construction and Operation of Pipeline   System and Associated Infrastructure  Right-Of-Way Application  Clark  Lincoln  White Pine  NV,Draft,11/30/2011,06/10/2011,Bureau of Land Management,,NV
Mudflow Vegetation Management Project  To Improve or Sustain the Health and Resiliency of the Forest and Reduce the Risk of Stand-replacing Wildfire  Siskiyou County  CA,Final,06/23/2011,06/03/2011,Forest Service,,CA
Groton Generation Station (GGS) Project  Proposes to Modify its Interconnection Agreement  Basin Electric Power Cooperative  for the (GGS) to Eliminate 50-Megawatts (MW) Annual Average Operating Limit  Brown County  SD,Final,07/05/2011,06/03/2011,Western Area Power Administration,,SD
George Washington National Forest Land and Resource Management Project  Implementation  Alleghany  Amherst  Augusta  Bath  Botetourt  Frederick  Highland  Nelson  Page  Rockbridge  Rockingham  Shenandoah  and Warren Counties VA and Hampshire  Hardy  Monroe  and Pendleton Counties  WV,Draft,10/17/2011,06/03/2011,Forest Service,,VA
Calexico West Land Port of Entry in Calexico  Expansion of Reconfiguration  Implementation  CA,Final,06/30/2011,06/03/2011,General Services Administration,,CA
St Lucie County South Beach and Dune Restoration Project  To Restore Recreational Beach  Restore Beach and Habitat  and Reduce Storm Damage Due to Beach Erosion  St. Lucie County  FL,Draft,07/13/2011,06/03/2011,U.S. Army Corps of Engineers,,FL
Lower Orogrande Project  Proposes Watershed Improvement Timber Harvest and Wildlife Habitat Enhancement Activities  North Fork Ranger District  Clearwater National Forest  Clearwater County  ID,Draft,08/02/2011,06/03/2011,Forest Service,,ID
Sigurd to Red Butte No. 2-345Kv Transmission Project  Construct  Operate  and Maintain  a Single  - Circurt 345 Kv Transmission Line  Issue of Right-of -Way Grant by BLM  and Special-Use-Permit by AFS  Sevier and Washington Counties  UT,Draft,07/18/2011,06/03/2011,Bureau of Land Management,,UT
Bussel 484 Project Area  Updated and New Information   Manage the Project Area to Achieve Desired Future Conditions for Vegetation  Fire  Fuels  Recreation  Access  Wildlife  Fisheries  Soil and Water  Idaho Panhandle National Forest  St. Joe Ranger District  Shoshone County  ID,Draft Supplement,07/11/2011,06/03/2011,Forest Service,,ID
Bozeman Municipal Watershed Project   Newl Information to Address New Additions to the Sensitive Species List  To Implement Fuel Reduction Activities  Bozeman Ranger District  Gallatin National Forest  City of Bozeman Municipal Watershed  Gallatin County  MT,Second Final Supplemental,07/13/2011,06/03/2011,Forest Service,,MT
Fish Camp Project  Proposes to Create a Network of Landscape Area Treatments and Defensible Fuel  Sierra National Forest  Bass Lake Ranger District  Madera and Mariposa Counties  CA,Final,06/24/2011,05/27/2011,Forest Service,,CA
Mt. Ashland Ski Area Expansion  To Address Matters Identified by the Ninth Circuit Court of Appeals for the Existing 2004 FEIS   Ashland Ranger District  Rogue River National Forest and Scott River Ranger District  Klamath National Forest  Jackson County  OR,F2,07/18/2011,05/27/2011,Forest Service,,OR
Chukchi Sea Planning Area  Oil and Gas Lease Sale 193  Revised Information  Analyzing the Environmental Impact of Natural Gas Development and Evaluate Incomplete  Missing  and Unavailable Information  Chukchi Sea  Alaska Outer Continental Shelf  AK,Revised Draft,07/08/2011,05/27/2011,BOEMRE,,AK
Howard Elliot Johnson Fuel and Vegetation Management Project  Proposed Fuels and Vegetation Treatments Reduce the Risk of Stand Loss Due to Overly Dense Stand Condition  Crook County  OR,Final,06/27/2011,05/27/2011,Forest Service,,OR
U.S. 30 Transportation Improvement Project  from Illinois 136 to Illinois 40. Federal Aid Primary (FAP) Route 309   Whiteside County  IL,Draft,07/29/2011,05/27/2011,Federal Highway Administration,,IL
Salt Timber Harvest and Fuel Hazard Reduction Project  Additional Analysis and Supplemental Information  Proposing Vegetation Management in the Salt Creek Watershed  South Fork Management Unit  Hayfork Ranger District  Shasta-Trinity National Forest  Trinity County  CA,Final Supplement,06/01/2011,05/27/2011,Forest Service,,CA
Folsom South of U.S. 50 Specific Plan Project  Proposed land Use Development in the Specific Plan Area  City of Folsom  Sacramento County  CA,Final,06/27/2011,05/27/2011,U.S. Army Corps of Engineers,,CA
Big Pony Project  Proposes to Reduce Fire Hazard to Permanent Research Plots and to Areas within and Adjacent to Wildland Urban Interface near Tennant  Goosenest Ranger District  Klamath National Forest  Siskiyou County  CA,Final,06/24/2011,05/27/2011,Forest Service,,CA
State Route 91 Corridor Improvement Project  Proposes Widening  Including the Construction of one Mixed-Flow Lane in each Direction between State 91 and Interstate 15  Riverside and Orange County  CA,Draft,07/11/2011,05/27/2011,Federal Highway Administration,,CA
ADOPTION - American Centrifuge Plant  Gas Centrifuge Uranium Enrichment Facility  Construction  Operation  and Decommission  License Issuance  Piketon  OH,Final,06/16/2011,05/20/2011,Department of Energy,,OH
White Elk Military Operations Area  Propose to Establish a New Military Operations Area (MOA) Linked to the Utah Test  Utah and Training Range (UTTR) Airspaces Nevada  Hill Air Force Base  UT and Nevada,Final,05/16/2011,05/20/2011,United States Air Force,,UT
Jepson Parkway Project  Proposes to Upgrade and Link a Series of Existing Two and Four-Lane Roadways  Right-of-Way  Endangered Species Act Section 7 and US Army COE Section 404 Permits  Solano County  CA,Final,06/20/2011,05/20/2011,Federal Highway Administration,,CA
Comanche Peak Nuclear Power Plant Units 3 and 4  Application for Combined Licenses (COLs) for Construction Permits and Operating Licenses  (NUREG-1943)  Hood and Somervell Counties  TX,Final,06/18/2011,05/20/2011,Nuclear Regulatory Commission,,TX
Generic - License Renewal of Nuclear Plants for the Prairie Island Nuclear Generating Plant  Units 1 and 2  Supplement 39  NUREG-1437  Implementation  City of Red Wing  Dakota County  MN,Final,06/16/2011,05/20/2011,Nuclear Regulatory Commission,,MN
Calvert Cliffs Nuclear Power Plant Unit 3  Application for Combined License for Construct and Operate a New Nuclear Unit  NUREG 1936  Calvert County  MD,Final,06/20/2011,05/20/2011,Nuclear Regulatory Commission,,MD
Apostle Islands National Lakeshore General Management Plan/Wilderness Management Plan  Implementation  Bayfield and Ashland Counties  WI,Final,05/23/2011,05/20/2011,National Park Service,,WI
ADOPTION - Areva Eagle Rock Enrichment Facility  Construct  Operate  and Decommission  Proposed Facility would Enrich Uranium for Use in Commercial Nuclear Fuel for Power Reactors  Bonneville County  ID,Final,06/20/2011,05/20/2011,Department of Energy,,ID
Troy Mine Revised Reclamation Plan  Proposed Revision is to Return Lands Disturbed by Mining to a Condition Appropriate for Subsequent Use of the Area    Kootenai National Forest  MT,Draft,06/29/2011,05/20/2011,Forest Service,,MT
Yellowstone National Park Draft Winter Use Plan  To Establish a Management Framework  Implementation  WY  MT and ID,Draft,07/15/2011,05/20/2011,National Park Service,,
Rusk Permit Area  Proposes to Construct  Operate  and Reclaim Permit Area  Expansion of Existing South Hallsville No. 1 Mine. Issuance of Section 404 Permit  Rusk  Harrison and Panola Counties  TX,Final,06/20/2011,05/20/2011,U.S. Army Corps of Engineers,,TX
PROGRAMMATIC -  Mechanical Creation and Maintenance of Emergent Sandbar Habitat in the Riverine Segments of the Upper Missouri River  To Support Least Tern and Piping Plover Populations  Implementation  MO,Final,06/15/2011,05/20/2011,U.S. Army Corps of Engineers,,MO
Hays County Regional Habitat Conservation Plan  Application for an Incidental Take Permit  Hays County  TX,Final,05/26/2011,05/20/2011,Fish and Wildlife Service,,TX
Palen Solar Power Plant Project  Construction  Operation and Decommission a Solar Thermal Facility on Public Lands  Approval for  Right-of-Way Grant  Possible California Desert Conservation Area Plan Amendment  Riverside County  CA,Final,06/13/2011,05/13/2011,Bureau of Land Management,,CA
Nellis Air Force Base (AFB)  Proposes to Base 36 F-35  Fighter Aircraft  Assigned to the Force Development Evaluation (FDE) Program and Weapons School (WS) Beddown  Clark County  NV,Final,06/13/2011,05/13/2011,United States Air Force,,NV
Fort Benning Training Land Expansion Program  To Reduce the Army's Training Land Shortfall  GA and AL,Draft,06/27/2011,05/13/2011,United States Army,,
Nationwide Aerial Application of Fire Retardant Project  Proposing to Continue the Aerial Application of Fire on National Forest System Lands  Implementation,Draft,06/23/2011,05/13/2011,Forest Service,,
Fremont-Winema National Forests Invasive Plant Treatment  Propose to Treat up to 8 700 Acres of Invasive Plant Infestation Per Year  Klamath and Lake Counties  OR,Final,05/23/2011,05/13/2011,Forest Service,,OR
White River National Forest Travel Management Plan  Updated Information for the Preferred Alternative   To Accommodate and Balance Transportation Needs  Implementation  Eagle  Garfield  Gunnison  Mesa  Moffat  Pitkin  Rio Blanco  Routt and Summit Counties  CO,Final,05/09/2011,05/06/2011,Forest Service,,CO
Fargo-Moorhead Metropolitan Area Flood Risk Management   To Documents the Analysis of Alternatives Developed to Reduce Flood Risk  Red River of the North Basin  ND and MN,Draft Supplement,06/20/2011,05/06/2011,U.S. Army Corps of Engineers,,
Rinconada Communication Site  Designation of Site to Serve Present and Future High Power Communication Needs and to Permit the Development of a Radio Transmission Facility within Site  Mt. Taylor Ranger District  Cibola National Forest  Cibola County  NM,Final,05/09/2011,05/06/2011,Forest Service,,NM
Pettijohn Late-Successional Reserve Habitat Improvement and Fuels Reduction Project   Implementation  Trinity River Management  Trinity Unit of the Shasta-Trinity National Recreation Area  Trinity County  CA,Draft,06/07/2011,05/06/2011,Forest Service,,CA
Pactola Project Area  Proposes to Implement Multiple Resource Management Actions  Mystic Ranger District  Black Hills National Forest  Pennington County  SD,Draft,06/13/2011,05/06/2011,Forest Service,,SD
Gemmill Thin Project  Updated Information on Four Alternatives   Chanchellula Late-Successional Reserve  Shasta-Trinity National Forest  Trinity County  CA,Final Supplement,06/02/2011,05/06/2011,Forest Service,,CA
PROGRAMMATIC - Coral Reef Restoration Plan  Implementation  Biscayne National Park  Homestead  FL,Final,06/06/2011,05/06/2011,National Park Service,,FL
Nuclear Facility of the Chemistry and Metallurgy Research Replacement Project  To Address New Geologic Information Regarding Seismic Conditions at the Site  Los Alamos National Laboratory  Los Alamos  NM,Draft Supplement,06/28/2011,04/29/2011,National Nuclear Security Administration,,NM
Palmyra Atoll National Wildlife Refuge Rat Eradication Project  Proposing to Restore and Protect the Native Species and Habitats  Implementation  Northern Line Islands  Honolulu  HI,Final,05/25/2011,04/29/2011,Fish and Wildlife Service,,HI
San Joaquin River Restoration Program  A Comprehensive Long-Term Effort to Restore Flows to the San  Joaquin River from Friant Dam to the Confluence of Merced River and Restore a Self-Sustaining Chinook Salmon Fishery in the River while Reducing or Avoiding Adverse Water Supply Impacts from  Interim and Restoration Flows  Implementation  CA,Draft,09/21/2011,04/29/2011,BOR,,CA
Robo Elk Project  Proposes Watershed Improvement  Timber Harvest  Fuel Treatments  and Recreation Activities  Palouse Ranger District  Clearwater National Forest  Clearwater County  ID,Final,05/11/2011,04/29/2011,Forest Service,,ID
Colorado Roadless Areas Rulemaking  Proposal To Establish Regulatory Direction for Managing Approximately 4.2 million Acres of Roadless Areas   Arapaho and Roosevelt; Grand Mesa  Uncompahgre  and Gunnison; Manti-La Sal (portion in Colorado); Pike and San Isabel; Rio Grande; Routt; San Juan; and White River National Forests   CO,Revised Draft,07/18/2011,04/29/2011,Forest Service,,CO
MD-3 Transportation Corridor Study  Address Existing and Projected Operational and Safety Issues  Along MD-3 from North of US-50 to South of MD-32  Funding  NPDES Permit and US Army COE Section 404 Permit  Anne Arundel and Prince George Counties,Final,06/02/2011,04/22/2011,Federal Highway Administration,,MD
Keystone XL Oil Pipeline Project   Additional Information  Presidential Permit for the Proposed Construction  Connection  Operation  and Maintenance of a Pipeline and Associated Facilities at the United States Border for Importation of Crude Oil from Canada,Draft Supplement,06/06/2011,04/22/2011,Department of State,,
Yesler Terrace Redevelopment Project  Proposed Redevelopment of Yesler Terrace to Create a Mixed Income  Mixed-Use-Residential Community on a 28 Acre Site  to Better Serve Existing and Future Residents  City of Seattle  WA,Final,05/23/2011,04/22/2011,Department of Housing and Urban Development,,WA
Gulf of Mexico Outer Continental Shelf Oil and Gas Lease Sales:  2011 Western Planning Area Sales 218  TX,Draft Supplement,06/06/2011,04/22/2011,Minerals Management Service,,
Virgil C. Summer Nuclear Station Units 2 and 3  Application for Combined License to Construct and Operate a New Nuclear Reactors  Fairfield County  SC,Final,06/01/2011,04/22/2011,Nuclear Regulatory Commission,,SC
Bangerter 600 West Project  Proposes Improvements to Address Projected Transportation Demand and Safety  Salt Lake County  UT,Draft,06/13/2011,04/22/2011,Federal Highway Administration,,UT
Presidio of Monterey Installation (POM) Project  To Implement the Real Property Master Plan  Monterey County  CA,Draft,06/20/2011,04/22/2011,United States Army,,CA
Bighorn Basin Resource Management Revision Project  Implementation  Bighorn  Hot Springs  Park and Washakie Counties  WY,Draft,09/07/2011,04/22/2011,Bureau of Land Management,,WY
Amendment 10 to the Fishery Management Plan for Spiny Lobster  Establish Annual Catch Limits and Accountability Measures for Caribbean Spiny Lobster  Gulf of Mexico and South Atlantic Regions,Draft,06/01/2011,04/15/2011,National Oceanic and Atmospheric Administration,,
Boundary Hydroelectric Project  Application for Hydroelectric License  FERC Project No. 2144-038 and Sullivan Creek Project  Application for Surrender of Hydropower FERC Project No. 2225-015  Pend Oreille County  WA,Draft,05/20/2011,04/15/2011,Federal Energy Regulatory Commission,,WA
Cle Elum Dam Fish Passage Facilities and Fish Reintroduction Project  To Restore Connectivity  Biodiversity  and Natural Production of Anadromous Salmonids  Kittitas County  WA,Final,05/16/2011,04/15/2011,Department of the Interior,,WA
First Solar Desert Sunlight Solar Farm (DSSF) Project  Proposing To Develop a 550-Megawatt Photovoltaic Solar Project  Also Proposes to Facilitate the  Construction and Operation of the Red Bluff Substation  California Desert Conservation Area (CDCA Plan  Riverside County  CA,Final,05/12/2011,04/15/2011,Bureau of Land Management,,CA
Kings River Experimental Watershed Forest Health and Research Project  Implementation  Sierra National Forest  High Sierra Ranger District  Fresno County  CA,Final,05/10/2011,04/15/2011,Forest Service,,CA
Genesis Project  Proposes Expansion of Existing Mine Pits and Development of the Bluestar Ridge Open Pit Mine  Newmont Mining Corporation  Eureka County  NV,Final,05/16/2011,04/15/2011,Bureau of Land Management,,NV
M-15 Reconstruction  I-75 to I-69  Funding and NPDES and U.S. Army COE Section 404 Permits Issuance  Oakland and Genesee Counties  MI,Final,05/19/2011,04/15/2011,Federal Highway Administration,,MI
HB In-Situ-Solution Mining Project  Proposal to Extract the Potash Remaining in Inactive Underground Mine  Eddy County  NM,Draft,06/01/2011,04/15/2011,Bureau of Land Management,,NM
Wells Hydroelectric Project  Application to Relicense  Public Utility District No. 1 Columbia  River near Pateros and Brewster in Douglas  Okanogan  and Chelan Counties  WA,Draft,05/26/2011,04/15/2011,Federal Energy Regulatory Commission,,WA
Biomass Power Plant Project  Application for Financial Assistance To Construction 100 Megawatt (MW) Biomass Plant and Related Facilities  Warren County  GA,Draft,05/26/2011,04/15/2011,Rural Utilities Service,,GA
Snow Basin Vegetation Management Project  Proposal to Implementing Commercial Harvest of Timber  Post Harvest Non-commercial Thinning  Whitman Ranger District  Wallowa-Whitman Forest  Baker County  OR,Draft,05/27/2011,04/15/2011,Forest Service,,OR
WITHDRAWAL- Kapka Butte Sno-Park Project  Proposal to Build a New Sno-Park to Provide more High-Elevation Parking for Winter Recreationist  Bend-Ft. Rock Ranger District  Deschutes National Forest  Deschutes County  OR,Draft,05/27/2011,04/15/2011,Forest Service,,OR
WITHDRAWN - Pueblo of Jemez 70.277 Acre Fee-To- Trust Transfer and Casino Project  Implemetation  Dona Ana County  NM,Draft,05/25/2011,04/08/2011,Bureau of Indian Affairs,,NM
Illinois 336 Corridor Project  (Federal Aid Primary Route 315)  Proposed  Macomb Bypass in McDonough County  to I-474 west of Peoria in Peoria County  Funding  McDonough  Fulton and Peoria Counties  IL,Final,05/02/2011,04/08/2011,Federal Highway Administration,,IL
Black Fork Salvage Project  Proposal to Treat Timer Harvest  Prescribe Fire  and Mechanical Thinning  Uinta-Wasatch-Cache National Forest  Summit County  UT,Draft,05/23/2011,04/08/2011,Forest Service,,UT
Celatom Mine Expansion Project  Proposal to Approve  or Approve with Condition  Authorized Mine Plan of Operation Permit   Harney and Malheur Counties  OR,Draft,05/23/2011,04/08/2011,Bureau of Land Management,,OR
Tropic to Hatch 138kV Transmission Line Project  Proposing Construction of a new 138 kV transmission Line that would replace some or all the existing 69 kV Transmission Line  Applications for Special-Use Permits and/or Right-of-Way Grants   Grand Staircase-Escalante National Monument  Management  Plan Amendment  Garfield County  UT,Final,05/10/2011,04/08/2011,Forest Service,,UT
Generic - License Renewal of Nuclear Plants  Regarding Hope Creek Generating Station and Salem Nuclear Generating Station  Units 1 and 2  Supplement 45 to NUREG-1437  Lower Alloway Creek  Township  Salem County  NJ,Final,05/12/2011,04/08/2011,Nuclear Regulatory Commission,,NJ
Big Moose Vegetation Management Project  Implementation  Divide Ranger District  Rio National Forest  Hinsdale and Mineral Counties  CO,Final,04/28/2011,04/08/2011,Forest Service,,CO
