Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Programmatic Environmental Impact Statement for Oil and Gas Decommissioning Activities on the Pacific Outer Continental Shelf,Final,11/28/2023,10/27/2023,Bureau of Ocean Energy Management,USACE,CA
One San Pedro Specific Plan Final EIR/EIS,Final,,10/27/2023,Los Angeles Housing Community Investment Department,,CA
South Feather Power Project,Draft Supplement,12/15/2023,10/27/2023,Federal Energy Regulatory Commission,,CA
Ambler Road Draft Supplemental Environmental Impact Statement,Draft Supplement,,10/20/2023,Bureau of Land Management,"EPA, USFWS, USACE",AK
North of Lake Okeechobee Storage Reservoir Section 203 Study,Draft,12/04/2023,10/20/2023,U.S. Army Corps of Engineers,EPA,FL
"Memphis Metropolitan Stormwater North DeSoto County Feasibility Study, DeSoto County, Mississippi",Final,11/22/2023,10/20/2023,U.S. Army Corps of Engineers,"EPA, USFWS",MS - TN
Hult Reservoir and Dam Safety,Draft,12/07/2023,10/20/2023,Bureau of Land Management,USACE,OR
Halligan Water Supply Project,Final,,10/20/2023,U.S. Army Corps of Engineers,"BLM, EPA, USFWS, USFS",CO
Coosa River Hydroelectric Project,Final Supplement,11/13/2023,10/13/2023,Federal Energy Regulatory Commission,EPA,AL - GA
Loop 9 Segment A,Final,,10/13/2023,Texas Department of Transportation,"EPA, USACE",TX
ADOPTION - Upper Llagas Creek Flood Protection Project,Final,,10/13/2023,Natural Resource Conservation Service,,CA
US 380 McKinney,Final,,10/13/2023,Texas Department of Transportation,"EPA, USACE",TX
2024-2029 National Outer Continental Shelf Oil and Gas Leasing Program,Final,11/03/2023,10/06/2023,Bureau of Ocean Energy Management,"NASA, NPS",PRO
Maryland Offshore Wind,Draft,11/20/2023,10/06/2023,Bureau of Ocean Energy Management,"NMFS, NPS, USACE, USCG, EPA, USFWS",MD - DE
"T-7A Recapitalization at Columbus Air Force Base, Mississippi",Draft,11/20/2023,10/06/2023,United States Air Force,,MS
ADOPTION - Thacker Pass Lithium Mine Project,Final,,09/29/2023,Department of Energy,,NV
Next Generation Delivery Vehicle Acquisitions,Final Supplement,10/30/2023,09/29/2023,United States Postal Service,,GU - HI - IA - ID - IL - IN - KS - KY - LA - LEG - MA - MD - DC - AK - AL - AQ - AR - AS - AZ - CA - CO - CT - DC - DE - FL - GA - ME - MI - MN - MO - MS - MT - NAT - NC - ND - NE - NH - NJ - NM - NV - NY - OH - OK - OR - Other - PA - PR - PRO - REG - RI - SC - SD - TN - TT - TX - UT - VA - VI - VT - WA - WI - WV - WY
Coastal Virginia Offshore Wind Commercial,Final,10/30/2023,09/29/2023,Bureau of Ocean Energy Management,"DOD, EPA, USFWS, NOAA, USACE, USCG",VA
Draft Grizzly Bear Restoration Plan - Environmental Impact Statement North Cascades Ecosystem,Draft,10/27/2023,09/29/2023,National Park Service,USFWS,WA
Northwest California Resource Management Plan (NCIP),Draft,12/20/2023,09/29/2023,Bureau of Land Management,"BR, EPA, USFWS, USFS, NMFS, NPS, WAPA",CA
I-15 Farmington to Salt Lake City,Draft,11/13/2023,09/29/2023,Utah Department of Transportation,"BR, EPA, USACE",UT
I-10 Calcasieu River Bridge Improvements,Final,,09/29/2023,Federal Highway Administration,"FRA, USACE, USCG",LA
Virginia Reliability Project and Commonwealth Energy Connector Project,Final,10/19/2023,09/22/2023,Federal Energy Regulatory Commission,"USFWS, USACE",VA
Operations and Maintenance Facility South NEPA Draft / SEPA Supplemental Draft Environmental Impact Statement,Draft,11/06/2023,09/22/2023,Federal Transit Administration,"EPA, FHWA, USACE",WA
Colorado Gray Wolf 10(j) Rulemaking,Final,10/16/2023,09/15/2023,Department of the Interior,"APHIS, BLM, USFS, NPS",CO
Empire Offshore Wind,Final,10/16/2023,09/15/2023,Bureau of Ocean Energy Management,"NMFS, USFWS, MARAD, NPS, USACE, USCG",NY
Gibellini Vanadium Mine Project,Final,,09/15/2023,Bureau of Land Management,"EPA, USFWS",NV
Mid-States Corridor Tier 1,Final,,09/15/2023,Federal Highway Administration,USFWS,IN
"Draft Environmental Impact Statement The Buildings at 202, 214, and 220 South State Street, Chicago, Illinois",Draft,10/25/2023,09/15/2023,General Services Administration,,IL
Coastal Plain Oil and Gas Leasing Program,Draft Supplement,,09/08/2023,Bureau of Land Management,"USFWS, EPA",AK
Hungry Ridge Restoration Project,Final Supplement,,09/08/2023,Forest Service,,ID
"Expansion and Modernization of the Raul Hector Castro Land Port of Entry in Douglas, Arizona",Revised Draft,10/23/2023,09/08/2023,General Services Administration,,AZ
Dakota Access Pipeline Lake Oahe Crossing Project,Draft,12/13/2023,09/08/2023,U.S. Army Corps of Engineers,EPA,ND
"Site-Specific Environmental Impact Statement for License Renewal of Nuclear Plants Regarding Subsequent License Renewal for Turkey Point Nuclear Generating Unit Nos. 3 and 4, NUREG-1437, Supplement 5a, Second Renewal",Draft Supplement,11/07/2023,09/08/2023,Nuclear Regulatory Commission,NPS,FL
ADOPTION - CP2 LNG and CP Express Project,Final,,09/08/2023,Department of Energy,,LA
I-35 Capital Express Central Project,Final,,09/01/2023,Texas Department of Transportation,"USDA, EPA, NPS, USACE",TX
Proposed Chumash Heritage National Marine Sanctuary,Draft,,09/01/2023,National Oceanic and Atmospheric Administration,"BOEM, DOD",CA
Predator Damage Management in Oregon,Final,,09/01/2023,Department of Agriculture,"BLM, USFS",OR
Environmental Impact Statement for the Construction Permit for the Kairos Hermes Test Reactor,Final,09/25/2023,08/25/2023,Nuclear Regulatory Commission,,TN
Lutsen Mountains Ski Area Expansion Project,Final,10/16/2023,08/25/2023,Forest Service,,MN
Manti-La Sal National Forest Land and Resource Management Plan,Draft,,08/18/2023,Forest Service,,UT - CO
"Resource Management Plan and Environmental Impact Statement for the Rock Springs RMP Revision, Wyoming",Draft,11/09/2023,08/18/2023,Bureau of Land Management,"APHIS, BR, EPA, USFWS, USFS, NPS",WY
Bald Mountain Mine Plan of Operations Amendment Juniper Project,Draft,,08/18/2023,Bureau of Land Management,"EPA, USFWS",NV
Nez Perce-Clearwater NF Travel Plan and OHV Rule Implementation,Draft Supplement,09/13/2023,08/18/2023,Forest Service,,ID
Browns Ferry Nuclear Plant Subsequent License Renewal Project Supplemental Environmental Impact Statement,Final Supplement,09/11/2023,08/11/2023,Tennessee Valley Authority,,AL
Final Environmental Impact Statement and Supplemental Watershed Plan for Etowah River Watershed Dam No. 13A,Final,,08/11/2023,Natural Resource Conservation Service,USACE,GA
Grand Staircase Escalante National Monument Draft Resource Management Plan and Environmental Impact Statement,Draft,11/09/2023,08/11/2023,Bureau of Land Management,"USFS, NPS",UT
Yellowstone National Park Bison Management Plan Draft Environmental Impact Statement,Draft,10/10/2023,08/11/2023,National Park Service,"APHIS, USFS",MT - ID - WY
City of Springfield Aquatic Recreation and Supplemental Water Supply Project Draft SEIS,Draft Supplement,09/25/2023,08/11/2023,U.S. Army Corps of Engineers,,IL
"Corporate Average Fuel Economy Standards for Passenger Cars and Light Trucks, Model Years 2027-2032, and Fuel Efficiency Standards for Heavy-Duty Pickup Trucks and Vans, Model Years 2030-2035",Draft,,08/04/2023,National Highway Traffic Safety Administration,"DOE, EPA",REG - REG
ADOPTION - Final Environmental Impact Statement for the Civil Nuclear Credit Program Proposed Award of Credits to Pacific Gas and Electric Company for Diablo Canyon Power Plant,Final,,08/04/2023,Department of Energy,,CA
Colorado River Valley Field Office and Grand Junction Field Office Supplemental EIS,Draft Supplement,,08/04/2023,Bureau of Land Management,"BR, USFS",CO
"Proposed Land Acquisition at Washington Navy Yard, Washington, D.C.",Final,,08/04/2023,United States Navy,,DC
CP2 LNG and CP Express Project,Final,08/31/2023,08/04/2023,Federal Energy Regulatory Commission,"DOE, DOT, NOAA, USACE, USCG",LA - TX
Tampa Harbor Navigation Improvement Study Draft Integrated General Reevaluation Report and Environmental Impact Statement,Draft,09/11/2023,07/28/2023,U.S. Army Corps of Engineers,NMFS,FL
Isle Royale National Park Wilderness Stewardship Plan,Draft,08/30/2023,07/28/2023,National Park Service,,MI
Bowers Hill Interchange Improvements Study,Draft,09/21/2023,07/28/2023,Federal Highway Administration,"EPA, USACE",VA
